id,clave,nombre,created_at,updated_at,deleted_at
1,01,AGUASCALIENTES,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
2,02,BAJA CALIFORNIA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
3,03,BAJA CALIFORNIA SUR,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
4,04,CAMPECHE,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
5,05,COAHUILA DE ZARAGOZA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
6,06,COLIMA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
7,07,CHIAPAS,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
8,08,CHIHUAHUA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
9,09,DISTRITO FEDERAL,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
10,10,DURANGO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
11,11,GUANAJUATO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
12,12,GUERRERO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
13,13,HIDALGO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
14,14,JALISCO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
15,15,MÉXICO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
16,16,MICHOACÁN DE OCAMPO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
17,17,MORELOS,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
18,18,NAYARIT,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
19,19,NUEVO LEÓN,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
20,20,OAXACA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
21,21,PUEBLA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
22,22,QUERÉTARO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
23,23,QUINTANA ROO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
24,24,SAN LUIS POTOSÍ,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
25,25,SINALOA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
26,26,SONORA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
27,27,TABASCO,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
28,28,TAMAULIPAS,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
29,29,TLAXCALA,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
30,30,VERACRUZ DE IGNACIO DE LA LLAVE,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
31,31,YUCATÁN,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL
32,32,ZACATECAS,"2021-06-05 12:00:00","2021-06-05 12:00:00",NULL